"assay","treatE","cycle","strain","repO","rep","repT","lawn","cfu_w","cfu_releas","id"
"col.l4","bi","4","MYb11","3","3","2","b",88.5714285714286,"NA","MYb11_bi_4_2_3"
"col.l4","bi","4","MYb11","2","2","3","b",22800,"NA","MYb11_bi_4_3_2"
"col.l4","bi","4","MYb11","4","4","2","b",12166.6666666667,"NA","MYb11_bi_4_2_4"
"col.l4","bi","4","MYb11","4","4","3","b",5400,"NA","MYb11_bi_4_3_4"
"col.l4","bi","4","MYb71","2","2","2","b",56222.2222222222,"NA","MYb71_bi_4_2_2"
"col.l4","bi","4","MYb71","2","2","3","b",16444.4444444444,"NA","MYb71_bi_4_3_2"
"col.l4","bi","4","MYb11","1","1","2","b",500,"NA","MYb11_bi_4_2_1"
"col.l4","bi","4","MYb71","3","3","1","b",653.333333333333,"NA","MYb71_bi_4_1_3"
"col.l4","bi","4","MYb11","3","3","3","b",231.372549019608,"NA","MYb11_bi_4_3_3"
"col.l4","bi","4","MYb11","5","5","1","b",61.3333333333333,"NA","MYb11_bi_4_1_5"
"col.l4","bi","4","MYb11","6","6","2","b",350.537634408602,"NA","MYb11_bi_4_2_6"
"col.l4","bi","4","MYb71","6","6","1","b",516.666666666667,"NA","MYb71_bi_4_1_6"
"col.l4","bi","4","MYb71","6","6","2","b",167.741935483871,"NA","MYb71_bi_4_2_6"
"col.l4","bi","4","MYb11","4","4","1","b",4.44444444444444,"NA","MYb11_bi_4_1_4"
"col.l4","bi","4","MYb71","3","3","2","b",199.047619047619,"NA","MYb71_bi_4_2_3"
"col.l4","bi","4","MYb71","4","4","2","b",17333.3333333333,"NA","MYb71_bi_4_2_4"
"col.l4","bi","4","MYb11","6","6","1","b",215,"NA","MYb11_bi_4_1_6"
"col.l4","mono","10","MYb11","4","4","3","b",80,"NA","MYb11_mono_10_3_4"
"col.l4","mono","10","MYb11","6","6","3","b",1166.66666666667,"NA","MYb11_mono_10_3_6"
"col.l4","mono","10","MYb11","4","4","1","b",1.33333333333333,"NA","MYb11_mono_10_1_4"
"col.l4","mono","10","MYb71","2","2","2","b",16888.8888888889,"NA","MYb71_mono_10_2_2"
"col.l4","mono","10","MYb11","1","1","3","b",844.444444444444,"NA","MYb11_mono_10_3_1"
"col.l4","mono","10","MYb11","5","5","2","b",194.444444444444,"NA","MYb11_mono_10_2_5"
"col.l4","mono","10","MYb71","2","2","3","b",25333.3333333333,"NA","MYb71_mono_10_3_2"
"col.l4","mono","10","MYb11","2","2","2","b",768.888888888889,"NA","MYb11_mono_10_2_2"
"col.l4","mono","10","MYb71","5","5","3","b",1484.44444444444,"NA","MYb71_mono_10_3_5"
"col.l4","mono","10","MYb71","1","1","2","b",20,"NA","MYb71_mono_10_2_1"
"col.l4","mono","10","MYb71","6","6","3","b",2077.77777777778,"NA","MYb71_mono_10_3_6"
"col.l4","mono","10","MYb11","5","5","3","b",1511.11111111111,"NA","MYb11_mono_10_3_5"
"col.l4","mono","10","MYb71","2","2","1","b",3111.11111111111,"NA","MYb71_mono_10_1_2"
"col.l4","mono","10","MYb71","3","3","3","b",61.5384615384615,"NA","MYb71_mono_10_3_3"
"col.l4","mono","10","MYb11","3","3","3","b",35.8974358974359,"NA","MYb11_mono_10_3_3"
"col.l4","mono","10","MYb11","5","5","1","b",20,"NA","MYb11_mono_10_1_5"
"col.l4","mono","10","MYb11","2","2","3","b",2866.66666666667,"NA","MYb11_mono_10_3_2"
